Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,City,State,Region,Product ID,Sub-Category,Product Name,Sales,Quantity,Notmalized Quantity,Discount,Profit,Order Ship Difference,Order Year,Order Month,Ord_Month_Name,Unit Price,Price Category,Profit Ratio,Profit Ratio Category,Unit Profit Ratio,Quarter,Year-Quarter
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,FUR-BO-10002545,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.214285714,0.32,-46.9764,4,2015,12,Dec,177.4664,Medium Price,-0.088235294,Loss,-0.029411765,Q4,2015 Q4
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,FUR-CH-10004218,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.214285714,0.3,-15.147,4,2015,12,Dec,70.686,Low Price,-0.071428571,Loss,-0.023809524,Q4,2015 Q4
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,FUR-FU-10001706,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.142857143,0,2.9568,4,2015,4,Apr,3.08,Low Price,0.48,Medium Profit,0.24,Q2,2015 Q2
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,FUR-CH-10003061,Chairs,"Global Leather Task Chair, Black",89.99,1,0.071428571,0,17.0981,4,2015,4,Apr,89.99,Low Price,0.19,Low Profit,0.19,Q2,2015 Q2
CA-2016-111682,6/17/2016,6/18/2016,First Class,Ted Butterfield,Consumer,Troy,New York,East,FUR-CH-10003968,Chairs,Novimex Turbo Task Chair,319.41,5,0.357142857,0.1,7.098,1,2016,6,Jun,63.882,Low Price,0.022222222,Low Profit,0.004444444,Q2,2016 Q2
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,Kunst Miller,Consumer,Los Angeles,California,West,FUR-FU-10000397,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.285714286,0,22.3328,6,2015,11,Nov,19.94,Low Price,0.28,Medium Profit,0.07,Q4,2015 Q4
US-2015-164175,4/30/2015,5/5/2015,Standard Class,Paul Stevenson,Home Office,Chicago,Illinois,Central,FUR-CH-10001146,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.357142857,0.3,-15.2225,5,2015,4,Apr,42.623,Low Price,-0.071428571,Loss,-0.014285714,Q2,2015 Q2
US-2015-134026,4/26/2015,5/2/2015,Standard Class,Joel Eaton,Consumer,Memphis,Tennessee,South,FUR-CH-10000513,Chairs,High-Back Leather Manager's Chair,831.936,8,0.571428571,0.2,-114.3912,6,2015,4,Apr,103.992,Medium Price,-0.1375,Loss,-0.0171875,Q2,2015 Q2
US-2015-134026,4/26/2015,5/2/2015,Standard Class,Joel Eaton,Consumer,Memphis,Tennessee,South,FUR-FU-10003708,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.142857143,0.2,1.213,6,2015,4,Apr,48.52,Low Price,0.0125,Low Profit,0.00625,Q2,2015 Q2
US-2017-118038,12/9/2017,12/11/2017,First Class,Ken Brennan,Corporate,Houston,Texas,Central,FUR-FU-10000260,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.214285714,0.6,-5.8248,2,2017,12,Dec,3.236,Low Price,-0.6,Loss,-0.2,Q4,2017 Q4
US-2014-147606,11/26/2014,12/1/2014,Second Class,Joel Eaton,Consumer,Houston,Texas,Central,FUR-FU-10003194,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.357142857,0.6,-14.475,5,2014,11,Nov,3.86,Low Price,-0.75,Loss,-0.15,Q4,2014 Q4
CA-2017-140088,5/28/2017,5/30/2017,Second Class,Patrick O'Donnell,Consumer,Columbia,South Carolina,South,FUR-CH-10000863,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.142857143,0,33.2156,2,2017,5,May,150.98,Medium Price,0.11,Low Profit,0.055,Q2,2017 Q2
CA-2015-149587,1/31/2015,2/5/2015,Second Class,Karl Braun,Consumer,Minneapolis,Minnesota,Central,FUR-FU-10003799,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0.214285714,0,16.5354,5,2015,1,Jan,17.78,Low Price,0.31,Medium Profit,0.103333333,Q1,2015 Q1
CA-2017-161018,11/9/2017,11/11/2017,Second Class,Parhena Norris,Home Office,New York City,New York,East,FUR-FU-10000629,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.5,0,40.5426,2,2017,11,Nov,13.79,Low Price,0.42,Medium Profit,0.06,Q4,2017 Q4
US-2015-156867,11/13/2015,11/17/2015,Standard Class,Lena Cacioppo,Consumer,Aurora,Colorado,West,FUR-FU-10004006,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.214285714,0.2,-3.8385,4,2015,11,Nov,34.12,Low Price,-0.0375,Loss,-0.0125,Q4,2015 Q4
CA-2017-146780,12/25/2017,12/30/2017,Standard Class,Cynthia Voltz,Corporate,New York City,New York,East,FUR-FU-10001934,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0.142857143,0,10.9096,5,2017,12,Dec,20.98,Low Price,0.26,Medium Profit,0.13,Q4,2017 Q4
CA-2015-110457,3/2/2015,3/6/2015,Standard Class,Dave Kipp,Consumer,Seattle,Washington,West,FUR-TA-10001768,Tables,Hon Racetrack Conference Tables,787.53,3,0.214285714,0,165.3813,4,2015,3,Mar,262.51,High Price,0.21,Medium Profit,0.07,Q1,2015 Q1
CA-2016-103730,6/12/2016,6/15/2016,First Class,Steven Cartwright,Consumer,Wilmington,Delaware,East,FUR-FU-10002157,Furnishings,Artistic Insta-Plaque,47.04,3,0.214285714,0,18.3456,3,2016,6,Jun,15.68,Low Price,0.39,Medium Profit,0.13,Q2,2016 Q2
US-2014-152030,12/26/2014,12/28/2014,Second Class,Alan Dominguez,Home Office,Houston,Texas,Central,FUR-CH-10004063,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.214285714,0.3,-8.5794,2,2014,12,Dec,200.186,High Price,-0.014285714,Loss,-0.004761905,Q4,2014 Q4
US-2014-134614,9/20/2014,9/25/2014,Standard Class,Philip Fox,Consumer,Bloomington,Illinois,Central,FUR-TA-10004534,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.428571429,0.5,-407.682,5,2014,9,Sep,102.95,Medium Price,-0.66,Loss,-0.11,Q3,2014 Q3
US-2016-125969,11/6/2016,11/10/2016,Second Class,Lindsay Shagiari,Home Office,Los Angeles,California,West,FUR-CH-10001146,Chairs,"Global Task Chair, Black",81.424,2,0.142857143,0.2,-9.1602,4,2016,11,Nov,40.712,Low Price,-0.1125,Loss,-0.05625,Q4,2016 Q4
US-2016-125969,11/6/2016,11/10/2016,Second Class,Lindsay Shagiari,Home Office,Los Angeles,California,West,FUR-FU-10003773,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0.214285714,0,26.2416,4,2016,11,Nov,79.52,Low Price,0.11,Low Profit,0.036666667,Q4,2016 Q4
CA-2016-145583,10/13/2016,10/19/2016,Standard Class,Lena Creighton,Consumer,Roseville,California,West,FUR-FU-10001706,Furnishings,Longer-Life Soft White Bulbs,43.12,14,1,0,20.6976,6,2016,10,Oct,3.08,Low Price,0.48,Medium Profit,0.034285714,Q4,2016 Q4
CA-2016-110366,9/5/2016,9/7/2016,Second Class,Jonathan Doherty,Corporate,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,0.142857143,0.2,10.35,2,2016,9,Sep,41.4,Low Price,0.125,Low Profit,0.0625,Q3,2016 Q3
CA-2014-110072,10/22/2014,10/28/2014,Standard Class,Maureen Gastineau,Home Office,Newark,Ohio,East,FUR-FU-10000521,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888,4,0.285714286,0.2,12.9096,6,2014,10,Oct,23.472,Low Price,0.1375,Low Profit,0.034375,Q4,2014 Q4
CA-2016-114489,12/5/2016,12/9/2016,Standard Class,Justin Ellison,Corporate,Franklin,Wisconsin,Central,FUR-CH-10000454,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8,0.571428571,0,585.552,4,2016,12,Dec,243.98,High Price,0.3,Medium Profit,0.0375,Q4,2016 Q4
CA-2014-104269,3/1/2014,3/6/2014,Second Class,Dave Brooks,Consumer,Seattle,Washington,West,FUR-CH-10004063,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2,0.142857143,0.2,51.4764,5,2014,3,Mar,228.784,High Price,0.1125,Low Profit,0.05625,Q1,2014 Q1
CA-2014-139892,9/8/2014,9/12/2014,Standard Class,Becky Martin,Consumer,San Antonio,Texas,Central,FUR-CH-10004287,Chairs,SAFCO Arco Folding Chair,1740.06,9,0.642857143,0.3,-24.858,4,2014,9,Sep,193.34,Medium Price,-0.014285714,Loss,-0.001587302,Q3,2014 Q3
CA-2014-118962,8/5/2014,8/9/2014,Standard Class,Chad Sievert,Consumer,Los Angeles,California,West,FUR-CH-10003817,Chairs,"Global Value Steno Chair, Gray",340.144,7,0.5,0.2,21.259,4,2014,8,Aug,48.592,Low Price,0.0625,Low Profit,0.008928571,Q3,2014 Q3
US-2015-101511,11/21/2015,11/23/2015,Second Class,Joel Eaton,Consumer,Newark,Ohio,East,FUR-CH-10004698,Chairs,"Padded Folding Chairs, Black, 4/Carton",396.802,7,0.5,0.3,-11.3372,2,2015,11,Nov,56.686,Low Price,-0.028571429,Loss,-0.004081633,Q4,2015 Q4
CA-2015-102281,10/12/2015,10/14/2015,First Class,Mark Packer,Home Office,New York City,New York,East,FUR-BO-10002613,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.136,4,0.285714286,0.2,112.392,2,2015,10,Oct,224.784,High Price,0.125,Low Profit,0.03125,Q4,2015 Q4
CA-2015-102281,10/12/2015,10/14/2015,First Class,Mark Packer,Home Office,New York City,New York,East,FUR-BO-10002545,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.352,3,0.214285714,0.2,46.9764,2,2015,10,Oct,208.784,High Price,0.075,Low Profit,0.025,Q4,2015 Q4
CA-2014-133690,8/3/2014,8/5/2014,First Class,Bruce Stewart,Consumer,Denver,Colorado,West,FUR-TA-10004289,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,2,0.142857143,0.5,-161.875,2,2014,8,Aug,109.375,Medium Price,-0.74,Loss,-0.37,Q3,2014 Q3
CA-2017-126382,6/3/2017,6/7/2017,Standard Class,Heather Kirkland,Corporate,Franklin,Tennessee,South,FUR-FU-10002960,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.168,7,0.5,0.2,9.6712,4,2017,6,Jun,5.024,Low Price,0.275,Medium Profit,0.039285714,Q2,2017 Q2
CA-2015-146262,1/2/2015,1/9/2015,Standard Class,Victoria Wilson,Corporate,Medina,Ohio,East,FUR-BO-10004695,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45,5,0.357142857,0.5,-244.323,7,2015,1,Jan,90.49,Low Price,-0.54,Loss,-0.108,Q1,2015 Q1
CA-2015-169397,12/24/2015,12/27/2015,First Class,Joni Blumstein,Consumer,Dublin,Ohio,East,FUR-FU-10000087,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",72.704,4,0.285714286,0.2,19.0848,3,2015,12,Dec,18.176,Low Price,0.2625,Medium Profit,0.065625,Q4,2015 Q4
CA-2015-163055,8/9/2015,8/16/2015,Standard Class,David Smith,Corporate,Detroit,Michigan,Central,FUR-TA-10003748,Tables,Bevis 36 x 72 Conference Tables,622.45,5,0.357142857,0,136.939,7,2015,8,Aug,124.49,Medium Price,0.22,Medium Profit,0.044,Q3,2015 Q3
US-2015-145436,2/28/2015,3/4/2015,Standard Class,Valerie Dominguez,Consumer,Columbia,Tennessee,South,FUR-CH-10004860,Chairs,Global Low Back Tilter Chair,161.568,2,0.142857143,0.2,-28.2744,4,2015,2,Feb,80.784,Low Price,-0.175,Loss,-0.0875,Q1,2015 Q1
US-2015-145436,2/28/2015,3/4/2015,Standard Class,Valerie Dominguez,Consumer,Columbia,Tennessee,South,FUR-CH-10004477,Chairs,"Global Push Button Manager's Chair, Indigo",389.696,8,0.571428571,0.2,43.8408,4,2015,2,Feb,48.712,Low Price,0.1125,Low Profit,0.0140625,Q1,2015 Q1
US-2017-100930,4/7/2017,4/12/2017,Standard Class,Christopher Schild,Home Office,Tampa,Florida,South,FUR-TA-10001705,Tables,Bush Advantage Collection Round Conference Table,233.86,2,0.142857143,0.45,-102.048,5,2017,4,Apr,116.93,Medium Price,-0.436363636,Loss,-0.218181818,Q2,2017 Q2
US-2017-100930,4/7/2017,4/12/2017,Standard Class,Christopher Schild,Home Office,Tampa,Florida,South,FUR-TA-10003473,Tables,Bretford Rectangular Conference Table Tops,620.6145,3,0.214285714,0.45,-248.2458,5,2017,4,Apr,206.8715,High Price,-0.4,Loss,-0.133333333,Q2,2017 Q2
US-2017-100930,4/7/2017,4/12/2017,Standard Class,Christopher Schild,Home Office,Tampa,Florida,South,FUR-FU-10004017,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",258.072,3,0.214285714,0.2,0,5,2017,4,Apr,86.024,Low Price,0,Loss,0,Q2,2017 Q2
CA-2016-157749,6/4/2016,6/9/2016,Second Class,Ken Lonsdale,Consumer,Chicago,Illinois,Central,FUR-FU-10000576,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,419.68,5,0.357142857,0.6,-356.728,5,2016,6,Jun,83.936,Low Price,-0.85,Loss,-0.17,Q2,2016 Q2
CA-2016-157749,6/4/2016,6/9/2016,Second Class,Ken Lonsdale,Consumer,Chicago,Illinois,Central,FUR-FU-10004351,Furnishings,Staple-based wall hangings,11.688,3,0.214285714,0.6,-4.6752,5,2016,6,Jun,3.896,Low Price,-0.4,Loss,-0.133333333,Q2,2016 Q2
CA-2016-157749,6/4/2016,6/9/2016,Second Class,Ken Lonsdale,Consumer,Chicago,Illinois,Central,FUR-TA-10002607,Tables,KI Conference Tables,177.225,5,0.357142857,0.5,-120.513,5,2016,6,Jun,35.445,Low Price,-0.68,Loss,-0.136,Q2,2016 Q2
CA-2016-157749,6/4/2016,6/9/2016,Second Class,Ken Lonsdale,Consumer,Chicago,Illinois,Central,FUR-FU-10002505,Furnishings,Eldon 100 Class Desk Accessories,4.044,3,0.214285714,0.6,-2.8308,5,2016,6,Jun,1.348,Low Price,-0.7,Loss,-0.233333333,Q2,2016 Q2
CA-2014-131926,6/1/2014,6/6/2014,Second Class,Dianna Wilson,Home Office,Lakeville,Minnesota,Central,FUR-CH-10004063,Chairs,Global Deluxe High-Back Manager's Chair,2001.86,7,0.5,0,580.5394,5,2014,6,Jun,285.98,High Price,0.29,Medium Profit,0.041428571,Q2,2014 Q2
CA-2016-154739,12/10/2016,12/15/2016,Second Class,Logan Haushalter,Consumer,San Francisco,California,West,FUR-CH-10002965,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",321.568,2,0.142857143,0.2,28.1372,5,2016,12,Dec,160.784,Medium Price,0.0875,Low Profit,0.04375,Q4,2016 Q4
US-2015-159982,11/28/2015,12/4/2015,Standard Class,Dan Reichenbach,Corporate,Chicago,Illinois,Central,FUR-FU-10002505,Furnishings,Eldon 100 Class Desk Accessories,12.132,9,0.642857143,0.6,-8.4924,6,2015,11,Nov,1.348,Low Price,-0.7,Loss,-0.077777778,Q4,2015 Q4
CA-2015-155334,7/30/2015,7/31/2015,First Class,Helen Andreada,Consumer,San Francisco,California,West,FUR-FU-10003274,Furnishings,Regeneration Desk Collection,5.28,3,0.214285714,0,2.3232,1,2015,7,Jul,1.76,Low Price,0.44,Medium Profit,0.146666667,Q3,2015 Q3
CA-2015-130890,11/2/2015,11/6/2015,Standard Class,Jas O'Carroll,Consumer,Los Angeles,California,West,FUR-TA-10002903,Tables,"Bevis Round Bullnose 29"" High Table Top",1038.84,5,0.357142857,0.2,51.942,4,2015,11,Nov,207.768,High Price,0.05,Low Profit,0.01,Q4,2015 Q4
CA-2016-110772,11/20/2016,11/24/2016,Second Class,Nick Zandusky,Home Office,Columbus,Ohio,East,FUR-BO-10004709,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",86.97,3,0.214285714,0.5,-48.7032,4,2016,11,Nov,28.99,Low Price,-0.56,Loss,-0.186666667,Q4,2016 Q4
CA-2014-111451,12/26/2014,12/28/2014,First Class,Kelly Lampkin,Corporate,Colorado Springs,Colorado,West,FUR-FU-10004091,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",300.416,8,0.571428571,0.2,78.8592,2,2014,12,Dec,37.552,Low Price,0.2625,Medium Profit,0.0328125,Q4,2014 Q4
CA-2014-111451,12/26/2014,12/28/2014,First Class,Kelly Lampkin,Corporate,Colorado Springs,Colorado,West,FUR-CH-10001891,Chairs,Global Deluxe Office Fabric Chairs,230.352,3,0.214285714,0.2,20.1558,2,2014,12,Dec,76.784,Low Price,0.0875,Low Profit,0.029166667,Q4,2014 Q4
CA-2014-111451,12/26/2014,12/28/2014,First Class,Kelly Lampkin,Corporate,Colorado Springs,Colorado,West,FUR-FU-10002918,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,218.352,3,0.214285714,0.2,-24.5646,2,2014,12,Dec,72.784,Low Price,-0.1125,Loss,-0.0375,Q4,2014 Q4
CA-2016-142545,10/28/2016,11/3/2016,Standard Class,Jonathan Doherty,Corporate,Belleville,New Jersey,East,FUR-FU-10001861,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",77.6,4,0.285714286,0,38.024,6,2016,10,Oct,19.4,Low Price,0.49,Medium Profit,0.1225,Q4,2016 Q4
US-2017-152380,11/19/2017,11/23/2017,Standard Class,Jonathan Howell,Consumer,Chicago,Illinois,Central,FUR-TA-10002533,Tables,BPI Conference Tables,219.075,3,0.214285714,0.5,-131.445,4,2017,11,Nov,73.025,Low Price,-0.6,Loss,-0.2,Q4,2017 Q4
CA-2015-144253,5/4/2015,5/9/2015,Second Class,Alan Schoenberger,Corporate,New York City,New York,East,FUR-FU-10002671,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,26.8,2,0.142857143,0,12.864,5,2015,5,May,13.4,Low Price,0.48,Medium Profit,0.24,Q2,2015 Q2
CA-2016-142902,9/12/2016,9/14/2016,Second Class,Ben Peterman,Corporate,Arvada,Colorado,West,FUR-FU-10001918,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,15.136,4,0.285714286,0.2,3.5948,2,2016,9,Sep,3.784,Low Price,0.2375,Medium Profit,0.059375,Q3,2016 Q3
CA-2016-142902,9/12/2016,9/14/2016,Second Class,Ben Peterman,Corporate,Arvada,Colorado,West,FUR-CH-10004086,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,466.768,2,0.142857143,0.2,52.5114,2,2016,9,Sep,233.384,High Price,0.1125,Low Profit,0.05625,Q3,2016 Q3
CA-2016-142902,9/12/2016,9/14/2016,Second Class,Ben Peterman,Corporate,Arvada,Colorado,West,FUR-FU-10001756,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",15.232,1,0.071428571,0.2,1.7136,2,2016,9,Sep,15.232,Low Price,0.1125,Low Profit,0.1125,Q3,2016 Q3
CA-2014-120887,9/27/2014,10/3/2014,Standard Class,Thomas Seio,Corporate,Hackensack,New Jersey,East,FUR-FU-10001588,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",87.54,3,0.214285714,0,37.6422,6,2014,9,Sep,29.18,Low Price,0.43,Medium Profit,0.143333333,Q3,2014 Q3
CA-2014-164973,11/4/2014,11/9/2014,Standard Class,Nathan Mautz,Home Office,New York City,New York,East,FUR-CH-10002602,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,135.882,1,0.071428571,0.1,24.1568,5,2014,11,Nov,135.882,Medium Price,0.177777778,Low Profit,0.177777778,Q4,2014 Q4
CA-2017-153339,11/3/2017,11/5/2017,Second Class,Don Jones,Corporate,Murfreesboro,Tennessee,South,FUR-FU-10001967,Furnishings,Telescoping Adjustable Floor Lamp,15.992,1,0.071428571,0.2,0.9995,2,2017,11,Nov,15.992,Low Price,0.0625,Low Profit,0.0625,Q4,2017 Q4
US-2016-141544,8/30/2016,9/1/2016,First Class,Patrick O'Brill,Consumer,Philadelphia,Pennsylvania,East,FUR-CH-10003312,Chairs,Hon 2090 ÒPillow SoftÓ Series Mid Back Swivel/Tilt Chairs,786.744,4,0.285714286,0.3,-258.5016,2,2016,8,Aug,196.686,Medium Price,-0.328571429,Loss,-0.082142857,Q3,2016 Q3
CA-2014-129924,7/12/2014,7/17/2014,Standard Class,Alyssa Crouse,Corporate,San Francisco,California,West,FUR-TA-10004575,Tables,Hon 5100 Series Wood Tables,698.352,3,0.214285714,0.2,-17.4588,5,2014,7,Jul,232.784,High Price,-0.025,Loss,-0.008333333,Q3,2014 Q3
CA-2016-138520,4/8/2016,4/13/2016,Standard Class,Jeremy Lonsdale,Consumer,New York City,New York,East,FUR-BO-10002268,Bookcases,Sauder Barrister Bookcases,388.704,6,0.428571429,0.2,-4.8588,5,2016,4,Apr,64.784,Low Price,-0.0125,Loss,-0.002083333,Q2,2016 Q2
CA-2017-144904,9/25/2017,10/1/2017,Standard Class,Katrina Willman,Consumer,New York City,New York,East,FUR-CH-10000785,Chairs,Global Ergonomic Managers Chair,488.646,3,0.214285714,0.1,86.8704,6,2017,9,Sep,162.882,Medium Price,0.177777778,Low Profit,0.059259259,Q3,2017 Q3
CA-2017-144904,9/25/2017,10/1/2017,Standard Class,Katrina Willman,Consumer,New York City,New York,East,FUR-FU-10000023,Furnishings,Eldon Wave Desk Accessories,47.12,8,0.571428571,0,20.7328,6,2017,9,Sep,5.89,Low Price,0.44,Medium Profit,0.055,Q3,2017 Q3
CA-2016-155516,10/21/2016,10/21/2016,Same Day,Michael Kennedy,Corporate,Manchester,Connecticut,East,FUR-BO-10002545,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1043.92,4,0.285714286,0,271.4192,0,2016,10,Oct,260.98,High Price,0.26,Medium Profit,0.065,Q4,2016 Q4
US-2017-134481,8/27/2017,9/1/2017,Standard Class,Allen Rosenblatt,Corporate,Franklin,Massachusetts,East,FUR-TA-10004915,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",1488.424,7,0.5,0.3,-297.6848,5,2017,8,Aug,212.632,High Price,-0.2,Loss,-0.028571429,Q3,2017 Q3
US-2015-168935,11/27/2015,12/2/2015,Standard Class,Denny Ordway,Consumer,Pembroke Pines,Florida,South,FUR-TA-10000617,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",375.4575,3,0.214285714,0.45,-157.0095,5,2015,11,Nov,125.1525,Medium Price,-0.418181818,Loss,-0.139393939,Q4,2015 Q4
CA-2015-122756,12/3/2015,12/7/2015,Standard Class,Dean Katz,Corporate,Philadelphia,Pennsylvania,East,FUR-FU-10001935,Furnishings,3M Hangers With Command Adhesive,2.96,1,0.071428571,0.2,0.777,4,2015,12,Dec,2.96,Low Price,0.2625,Medium Profit,0.2625,Q4,2015 Q4
CA-2016-108987,9/8/2016,9/10/2016,Second Class,Anna Gayman,Consumer,Houston,Texas,Central,FUR-BO-10004834,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2396.2656,4,0.285714286,0.32,-317.1528,2,2016,9,Sep,599.0664,High Price,-0.132352941,Loss,-0.033088235,Q3,2016 Q3
